Accession,Gene,NH4,Gln,Phe,Ile
P15454,GUK1,800.7916724,1787.283953,2185.164534,2583.842379
P15496,IDI1,309.9776131,388.484209,495.5160655,418.5012572
P15565,TRM1,132.8450024,157.3028661,184.2241155,241.3084973
P15624,FRS1,92.06435756,114.8622719,147.0798942,177.9599077
P15625,FRS2,140.9964374,193.4272413,228.5359966,234.9588375
P15700,URA6,1633.230544,2489.75455,3219.774259,3823.415851
P15703,BGL2,10125.77919,13458.88958,17800.17527,17863.16386
P15705,STI1,1701.019748,1935.202006,2230.062272,3564.507925
P15731,UBC4,66.48719141,102.4121634,121.3313937,89.63858519
P15790,CKA1,198.4374351,266.0979391,349.9822313,381.459604
P15873,POL30,306.4479209,516.9174614,607.1505516,871.8766977
P15891,ABP1,627.3962425,1030.118253,1162.964002,1218.960729
P15938,PRP16,1.742266825,2.339083107,3.410118193,2.704357824
P15992,HSP26,39707.16669,29483.17722,42493.49052,117506.5994
P16120,THR4,3340.66695,4325.454985,5710.41914,5803.032901
P16140,VMA2,2440.262082,3649.144431,4222.811241,4752.120031
P16151,ERD1,2.707851516,3.684387408,5.35565247,5.981595507
P16370,RPB3,5.943254487,6.541783155,8.107456198,10.37129299
P16387,PDA1,1209.711032,1979.17538,2589.831351,2405.588932
P16451,PDX1,305.0554645,379.5577293,514.5885092,518.6010399
P16474,KAR2,947.1566115,1459.045004,1700.58646,1971.12493
P16521,YEF3,6096.790075,8249.438378,10838.03951,11678.78445
P16547,OM45,3184.318147,4688.381786,5582.180949,8052.700769
P16550,APA1,428.8600635,546.8126146,710.6656171,601.2298113
P16603,NCP1,351.8890542,491.9994698,612.2131716,694.5266013
P16622,HEM15,265.0672874,355.5120111,501.309444,496.5404956
P16639,ATE1,0.595244962,0.966769685,1.076566597,2.106046396
P16649,TUP1,355.1351808,309.3912069,350.2811622,236.6098966
P16661,ALG1,207.166491,234.9019582,316.5993692,390.7984999
P16664,RGP1,4.567541538,5.930396958,7.414637195,7.807434571
P16861,PFK1,1921.4105,2669.17796,3373.636609,4436.960446
P16862,PFK2,4969.580632,5442.813828,7243.741393,9461.830355
P16892,FUS3,8.449416533,13.4092047,18.86989352,16.25668668
P17064,FCY2,1246.713552,1150.13321,1759.948563,1722.339396
P17065,SEC2,3.905999284,5.360594028,6.905656473,7.29127547
P17076,RPL8A,15045.56272,24844.10125,29018.35201,35258.36716
P17106,CBF1,115.3318905,148.0298729,204.6146099,200.2641259
P17119,KAR3,1.019564957,1.665100218,2.957139118,1.34610084
P17121,SAC7,9.262456885,12.31448093,16.7202007,13.83406192
P17157,PHO85,138.3483547,228.8273097,284.0835287,337.5771412
P17255,VMA1,4902.7348,6484.643683,7326.171057,10803.84018
P17423,THR1,903.0149549,1284.506503,1591.092705,1946.326711
P17442,PHO81,22.05357573,23.77291931,34.27951523,30.78758071
P17505,MDH1,1299.827062,2689.359898,2759.216302,2591.48927
